nomoffre;type;typehabitation;adresse1;adresse1suite;adresse2;adresse3;codepostal;commune;cedex;codeinseecommune;latitude;longitude;acces;commmob;commtel;commfax;commmail;commweb;videosurl;plateformeurl;spvideosembed;tripadwidget;animauxacceptes;animauxinfo;labeltourismehandicap;spaccessibilite;spaccueilveloitineraire;equipements;confortimmobilier;confortmobilier;labels;labelsclassement;categorie;capacitenbchambres;capacitenbchambresmobreduite;capacitenbhebergements;capacitenbpersonnes;capacitesurface;services;languesparleesaccueil;ouverturealannee;ouverturegranule;resadirecte;resaenligneouinon;resaenligne;resaagence;tarifs;modepaiement;localisation;departement
Gîte Isatis;Meublés;Maison;;;La Cour;LANDEMONT;49270;OREE D'ANJOU;;49069;47.2671621;-1.253298;Gare SNCF||ANCENIS||15,Autoroute||ANCENIS||15,Route (nationale/départ.)||LANDEMONT||0,2,Gare routière||NANTES||27,Transport en commun||NANTES||27,Aéroport/aérodrome||NANTES||37,Héliport||ANCENIS||15,Halte fluviale||CHAMPTOCEAUX||9,Gare maritime||NANTES||30;06 49 63 43 73;;Partenaires Ôsez Mauges 2024;;www.isatis-giteoreedanjou.fr;;;;;non;excepté animal de compagnie pour les personnes porteuses d'handicap;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrain clos;Toilettes séparées";Equipement bébé,Micro ondes,Lave linge,Lave vaisselle;;;Non classé;5;;1;14;150;Fourniture de draps (gratuit),Option nettoyage;Anglais;oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Marie-Annick SUTEAU||06 49 63 43 73||jmsuteau@hotmail.fr;;;;Semaine (meublé)||1500,00||1500,00||,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||70,00||290,00||accueil professionnel/ affaires à la nuitée,Week-end (meublé)||580,00||580,00||;Chèques bancaires et postaux;47.2671621,-1.253298;Maine-et-Loire
Gîte Le logis à mots;Meublés;Appartement;;Château de La Turmelière;La Turmelière;LIRE;49530;OREE D'ANJOU;;49069;47.3362218;-1.1845067;Gare SNCF||Ancenis||5,Route (nationale/départ.)||Nantes||40,Aéroport/aérodrome||Aeroport Nantes Atlantique||40;;02 40 09 15 16;;;http://www.laturmeliere.org;https://www.youtube.com/watch?v=-7g4PJ-c0wg;;;;non;;;non;EV6-La Loire à Vélo;Parc/jardin,WiFi;"Entrée indépendante;Local vélo;Parking;Sanitaires privés;Toilettes séparées";Equipement bébé,Micro ondes,Lave linge;Accueil Vélo,La Loire à vélo,Vignobles et découvertes;;;1;;1;4;35;Location de draps,Location de linge,Location/prêt de vélo,Option nettoyage;Anglais;oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;La turmelière||02 40 09 15 16||contact-chateau@turmeliere.org;;;;Week-end (meublé)||103,00||175,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.3362218,-1.1845067;Maine-et-Loire
Gîte ancien Presbytère - rez-de-chaussée;Meublés;Maison;;;;Le Bourg, Chenillé-Changé;49220;CHENILLE-CHAMPTEUSSE;;49067;47.6999325;-0.6671757;Gare SNCF||Angers Gare Saint-Laud||35,Autoroute||A11 Angers/Nantes||25,Route (nationale/départ.)||RN162 Angers/Laval||8,Transport en commun||Anjou bus - Le Lion d'Angers||10,Aéroport/aérodrome||Nantes||95,Halte fluviale||Chenillé-Changé||0;06 40 89 13 07;;;;;;;;;oui;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Plain Pied;Toilettes séparées";Cheminée,Equipement bébé,Micro ondes,Lave linge,Lave vaisselle;Gîtes de France;2 épis (Gîtes de France);Non classé;2;0;1;6;81;Location de draps,Location de linge,Location/prêt de vélo,Option nettoyage;"Allemand;Anglais;Français";oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mairie de Chenillé||06 40 89 13 07||tourisme.chenille.champteusse@gmail.com;;;;"Semaine (meublé)||350,00||430,00||350€ en basse saison;390€ en moyenne saison;430€ en haute saison,Taxe de séjour / nuit / pers||||||Taxe de séjour appliquée du 1er janvier au 31 décembre";"Chèques bancaires et postaux;Chèques Vacances";47.6999325,-0.6671757;Maine-et-Loire
GITE BON AIR SUR LOIRE NOISETTE;Meublés;;;;5 rue des Petits Grands Champs;SAINT-SATURNIN-SUR-LOIRE;49320;BRISSAC LOIRE AUBANCE;;49050;47.39709;-0.43645;Gare SNCF||Angers Saint Laud||20;;02 41 91 95 21;;;;;;;;non;;;non;;Parc/jardin;"Jardin indépendant;Parking";;Gîtes de France;3 épis (Gîtes de France);;3;;;6;78;Fourniture de draps (gratuit),Location de draps;Français;oui;;;;;;;"Chèques bancaires et postaux;Chèques Vacances";47.39709,-0.43645;Maine-et-Loire
GITE LA PICHONNIÈRE;Meublés;Maison;;;La Pichonnière;CHARCE-SAINT-ELLIER-SUR-AUBANCE;49320;BRISSAC LOIRE AUBANCE;;49050;47.33415;-0.42002;Gare SNCF||Angers Saint Laud||20;;02 41 91 25 93;02 41 91 25 93;;;;;;;non;;;non;;Parc/jardin,WiFi;"Jardin indépendant;Parking;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Micro ondes,Lave linge,Lave vaisselle;Gîtes de France,Vignobles et découvertes;3 épis (Gîtes de France);2 étoiles;3;;;6;82;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location de draps,Location de linge;;oui;;;oui;||gites-de-france-anjou.com||||02 41 88 00 00||gites-de-france-anjou@wanadoo.fr,||http://www.angersloiretourisme.com/fr/reservation?page=HLO872000077-GITE-DE-FRANCE-LA-PICHONNIERE-LES-NOISETIERS.html||http://www.angersloiretourisme.com/fr/reservation?page=HLO872000077-GITE-DE-FRANCE-LA-PICHONNIERE-LES-NOISETIERS.html||02 41 23 50 00||accueil@angersloiretourisme.com;;"Semaine (meublé)||||||Basse saison pour 7 nuits : 380€;Haute saison/juillet et août : 450€;;Vacances d'hiver, de printemps, ascension/pentecôte et moyenne saison : 400€";"Chèques bancaires et postaux;Chèques Vacances";47.33415,-0.42002;Maine-et-Loire
LOGIS DE LA PICHONNIÈRE;Chambres d'hôtes;Maison;;;363 Chemin de la Pichonnière CHARCE;CHARCE-SAINT-ELLIER-SUR-AUBANCE;49320;BRISSAC LOIRE AUBANCE;;49050;47.33357;-0.419455;Gare SNCF||Angers Saint Laud||20,Autoroute||A 87||10,Transport en commun||Anjou Bus Brissac-Quincé||3,Aéroport/aérodrome||Angers Loire Aéroport||30;;;;;http://www.gite-brissac.com;;Tripadvisor||http://www.tripadvisor.fr/Hotel_Review-g1125985-d5987066-Reviews-Logis_de_la_Pichonniere-Brissac_Quince_Maine_et_Loire_Pays_de_la_Loire.html;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon";Equipement bébé,Lave linge,Sèche linge;Gîtes de France,Vignobles et découvertes;3 épis (Gîtes de France);Non classé;5;2;1;10;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Anglais;Français";oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Jean-Claude COLIBET MARTIN||06 74 49 02 10||,Jean-Claude COLIBET-MARTIN||02 41 91 29 37||;oui;||http://www.angersloiretourisme.com/fr/reservation/22701||http://www.angersloiretourisme.com/fr/reservation/22701||02 41 23 50 00||accueil@angersloiretourisme.com;;;"Chèques bancaires et postaux;Chèques Vacances;Espèces";47.33357,-0.419455;Maine-et-Loire
CHAMBRE D'HÔTES LE RATEAU;Chambres d'hôtes;Maison;;;;Le Rateau;49190;ROCHEFORT-SUR-LOIRE;;49259;47.357691;-0.69912;Gare SNCF||Angers Saint Laud||25,Gare SNCF||la Possonniere||6,Autoroute||A11 (25km) ou A71 (10km)||10,Gare routière||Angers||25,Transport en commun||Rochefort sur Loire||3,Aéroport/aérodrome||Angers Marce||30,Route (nationale/départ.)||RD entre Savennieres et Rochefort||3;06 75 05 38 92;;;;http://www.lerateau.com;;Google+||http://www.lerateau.com;;;non;;;non;;Local Vélo,Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Local vélo;Parking;Sanitaires privés;Toilettes séparées";Equipement bébé,Micro ondes,Lave vaisselle;Gîtes de France,Vignobles et découvertes;3 épis (Gîtes de France);;4;0;1;12;170;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage,Nettoyage (gratuit),Tables d'hôtes;Français;oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Hamet Brigitte||06 75 05 38 92||le.rateau@orange.fr;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||||||1 nuit,1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||||||1 nuit;"Chèques bancaires et postaux;Espèces;Virement";47.357691,-0.69912;Maine-et-Loire
Chambres d'hôtes du Perray;Chambres d'hôtes;Maison;;;24 rue Brossays du Perray;;49440;CANDE;;49054;47.5614537;-1.037385;Gare SNCF||Angers Saint-Laud||40,Gare SNCF||Nantes||62,Autoroute||Angers/Nantes||30;06 66 10 56 90;;;;;;Facebook||https://www.facebook.com/chambresdhotesduperray/;;;oui;Nous acceptons les animaux sous réserve de la propreté et de la sociabilité nous avons un Bouvier Bernois et 3 Minettes;;non;;WiFi;"Sanitaires privés;Terrain clos";;;;;3;0;1;6;70;Fourniture de draps (gratuit),Fourniture de linge (gratuit);;oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Madame et Monsieur Quinquis||06 66 10 56 90||mirphi49@gmail.com;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||92,00||92,00||petit déjeuner compris,Taxe de séjour / nuit / pers||0,50||0,50||Taxe de séjour appliquée du 1er janvier au 31 décembre;"Cartes bancaires;Espèces;Virement";47.5614537,-1.037385;Maine-et-Loire
Chambres d'hôtes les Hauts de Brèges;Chambres d'hôtes;Maison;;;;Les Hauts de Brèges, Nyoiseau;49500;SEGRÉ-EN-ANJOU BLEU;;49331;47.7068839;-0.9136321;Gare SNCF||ANGERS||35,Autoroute||DURTAL||35,Gare routière||Segré||4,Aéroport/aérodrome||nantes||75,Halte fluviale||Segré||4;06 34 64 96 87;02 41 61 39 07;;;http://www.hauts-de-breges.com;;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g10389036-d3536008-Reviews-Les_Hauts_de_Breges-Nyoiseau_Segre_en_Anjou_Bleu_Maine_et_Loire_Pays_de_la_Loire.html;;;oui;admis sous conditions;;non;;Parc/jardin,Piscine,Plan d'eau,WiFi;"Entrée indépendante;Parking;Plain Pied;Sanitaires privés;Terrain clos;Toilettes séparées";Equipement bébé;Gîtes de France;3 épis (Gîtes de France);;3;0;1;7;104;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit),Tables d'hôtes;"Anglais;Français";oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme et M PELLIER ||02 41 61 39 07||b.pellier@wanadoo.fr;oui;Gîtes de France||http://www.gites-de-france-anjou.com/location-vacances-Maine-Et-Loire-Chambre-d-hotes-a-Nyoiseau-49G23381.html||||02 41 88 00 00||;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||60,00||60,00||20€ par personne supplémentaire,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||50,00||50,00||,Table d'hôtes||20,00||20,00||,Taxe de séjour / nuit / pers||0,50||0,50||Taxe de séjour appliquée du 1er janvier au 31 décembre;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.7068839,-0.9136321;Maine-et-Loire
Gîte la Petite école;Meublés;Maison;;;1 quai de la Mayenne;;49220;CHAMBELLAY;;49064;47.6902478;-0.6807406;Gare SNCF||ANGERS||38,Aéroport/aérodrome||NANTES||109,Autoroute||A11||28,Itinéraire de randonnée||vélo Francette||0;07 60 73 15 99;;;;;;Facebook||https://fr-fr.facebook.com/pages/LA-PETITE-ECOLE-49/211282555566944;;;non;Les fêtes et soirées sont INTERDITES.;;non;;Parc/jardin,Plan d'eau,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Micro ondes,Lave linge,Lave vaisselle;;;;3;;1;8;120;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage;"Anglais;Français";non;29/03/2024||27/10/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,28/03/2025||26/10/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Madame Godard||07 60 73 15 99||contact@mara.homes;;;;"Nuitée (meublé)||190,00||190,00||Draps et linge de toilette fournis.;Forfait ménage en option 50 euros.; 2 nuits minimum.,Semaine (meublé)||950,00||950,00||Draps et linge de toilette fournis.;Forfait ménage en option 50 euros.,Taxe de séjour / nuit / pers||||||Taxe de séjour appliquée du 1er janvier au 31 décembre (3%)";"Chèques bancaires et postaux;Espèces;Virement";47.6902478,-0.6807406;Maine-et-Loire
Meublés Appart Hotel La Demeure Boussironne;Meublés;Appartement;;;38 rue Charles de Gaulle;;44190;BOUSSAY;;44022;47.0504438;-1.1847361;Gare SNCF||BOUSSAY - LA BRUFFIERE||0,05,Transport en commun||train Nantes -Cholet||1,Autoroute||A 83 SORTIE MONTAIGU||15,Route (nationale/départ.)||N 149||1,Aéroport/aérodrome||AEROPORT NANTES ATLANTIQUE||47;06 23 48 47 65;02 40 06 89 64;;;http://www.lademeureboussironne.fr;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Micro ondes,Lave linge;;;Non classé;2;0;2;4;30;Location de draps,Location de linge,Option nettoyage,Tables d'hôtes;"Anglais;Espagnol;Français";oui;;BRETAUDEAU||06 23 48 47 65||bretaudeau_elise@yahoo.fr;;;;Semaine (meublé)||170,00||240,00||,Nuitée (meublé)||57,00||80,00||,Week-end (meublé)||135,00||150,00||;"Chèques bancaires et postaux;Espèces;Virement";47.0504438,-1.1847361;Loire-Atlantique
CHAMBRE D'HÔTES LES DEUX COTEAUX;Chambres d'hôtes;Maison;;;;Le Roc;49290;CHALONNES-SUR-LOIRE;;49063;47.3424999;-0.7162217;Gare SNCF||Chalonnes sur Loire||2,Autoroute||Chemille A87||12,Aéroport/aérodrome||Aéroport Nantes Atlantique||100;06 09 34 36 58;02 41 44 41 66;;;http://lesdeuxcoteaux.fr;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Plain Pied;Terrain clos";Cheminée;;;Non classé;2;0;2;4;25;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage,Tables d'hôtes;"Anglais;Espagnol";non;;Charrier||06 09 34 36 58||Tony.charrier0@orange.fr;;;;;Chèques bancaires et postaux;47.3424999,-0.7162217;Maine-et-Loire
Clos sur Loir Cottage - Jardin Yuccas;Meublés;Appartement,Maison;;;10-12 Rue de Vallon sur Loir;;72800;LA CHAPELLE-AUX-CHOUX;;72060;47.6341273;0.2309445;Gare SNCF||CHATEAU DU LOIR||17,Itinéraire de randonnée||GR35 - GR 36||1,Gare SNCF||AUBIGNE RACAN||7,Autoroute||A 28 SORTIE MONTABON||12,Aéroport/aérodrome||TOURS VAL DE LOIRE||50;06 02 31 46 18;02 44 33 62 63;;;https://clossurloircottage.wixsite.com/clsriver;;Facebook||https://www.facebook.com/Clos.sur.Loir.cottage;;;non;;;non;;Espace bien-être,Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Local vélo;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon";Cheminée,Equipement bébé,Micro ondes,Lave linge;;;3 étoiles;1;;1;3;40;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage;"Anglais;Espagnol;Français";;15/03/2024||15/01/2025||de mi-mars à mi-janvier||de mi-janvier à mi-mars||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Nuitée (meublé)||50,00||83,00||2 à 4  nuits minimum selon la saison (application du tarif à la semaine à partir de 6 nuits). ,Week-end (meublé)||146,00||166,00||Tarifs forfaitaires pour 1 ou 2 nuits en week end  et selon le nombre d'occupant (2 ou 3 personnes).,Semaine (meublé)||350,00||399,00||Tarif pour 6 ou 7 nuits et selon le nombre d'occupant (2 ou 3 personnes).;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Chèques Vacances Connect;Espèces;Virement";47.6341273,0.2309445;Sarthe
Clos sur Loir Cottage - Jardin Renard;Meublés;Maison;;;2 Place du Commandant Demenois;;72800;LA CHAPELLE-AUX-CHOUX;;72060;47.6338869;0.2309928;Gare SNCF||CHATEAU DU LOIR||17,Itinéraire de randonnée||GR35 - GR 36||1,Gare SNCF||AUBIGNE RACAN||7,Autoroute||A 28 SORTIE MONTABON||12,Aéroport/aérodrome||TOURS VAL DE LOIRE||50;06 02 31 46 18;02 44 33 62 63;;;https://clossurloircottage.wixsite.com/clsriver;;Facebook||https://www.facebook.com/Clos.sur.Loir.cottage;;;non;;;non;;Espace bien-être,Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Local vélo;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Micro ondes,Lave linge;;;3 étoiles;2;;1;5;85;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage;"Anglais;Espagnol;Français";;15/03/2024||15/01/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,15/03/2025||11/01/2026||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Nuitée (meublé)||78,00||98,00||3  ou 4 nuits minimum selon la saison  (application du tarif réduit hebdomadaire à partir de 6 nuits). ,Week-end (meublé)||264,00||314,00||Tarifs forfaitaires week end  pour 1, 2 ou 3 nuits  et selon le nombre d'occupants (4 ou 5 personnes).,Semaine (meublé)||550,00||599,00||Tarif pour 6 ou 7 nuits et selon le nombre d'occupants (4 ou 5 personnes).;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Chèques Vacances Connect;Espèces;Virement";47.6338869,0.2309928;Sarthe
Gîte la Petite Grange;Meublés;Maison;La Grange;;;;72340;LHOMME;;72161;47.7628103;0.55339539;Gare SNCF||CHATEAU DU LOIR||20,Autoroute||PARIGNE L EVEQUE||25,Transport en commun||LHOMME||5,Aéroport/aérodrome||TOURS||45;06 27 63 90 56;;;;http://la-petite-grange.fr;;Facebook||https://www.facebook.com/pages/La-Petite-Grange/234547323406919?ref_type=bookmark;;;oui;Avec un supplément de 30€ par chien;;non;La Vallée du Loir à vélo,Sarthe à Vélo;Parc/jardin,WiFi;"Entrée indépendante;Garage;Jardin indépendant;Local vélo;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon";Cheminée,Equipement bébé,Micro ondes,Lave linge,Lave vaisselle;Vignobles et découvertes;;3 étoiles;2;;1;4;70;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Anglais;Espagnol;Français;Italien";oui;;JIM MARCHANT||06 95 16 11 76||lapetitegrange72@gmail.com;;;;"Semaine (meublé)||||||500 € pour une semaine toute l'année.;Voir notre calendrier mis à jour sur notre site internet.;";"Chèques bancaires et postaux;Espèces;Virement";47.7628103,0.55339539;Sarthe
CHAMBRES D'HÔTES AU COEUR DES MAUGES;Chambres d'hôtes;Maison;;;17 rue de la Martinière;NEUVY-EN-MAUGES;49120;CHEMILLE-EN-ANJOU;;49092;47.267872;-0.825234;Gare SNCF||Chemillé||10,Route (nationale/départ.)||D762||3,5,Autoroute||A87 sortie 25||11;06 15 19 94 58;02 41 75 35 80;;;;;;;;non;;;non;;WiFi;"Entrée indépendante;Terrasse / Balcon;Toilettes séparées";;Welcome;;;4;;;10;30;;"Anglais;Français";oui;||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;MR ET MME BEAUPEL||02 41 75 35 80||beaupel.francis@orange.fr;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||54,00||54,00||lit une personne supplémentaire 40 €,  petit déjeuner inclus;"Chèques bancaires et postaux;Chèques Vacances";47.267872,-0.825234;Maine-et-Loire
Le Refuge des Vignes;Meublés;Maison;;;3542 route de Montfaucon;;44330;MOUZILLON;;44108;47.1249572;-1.2365624;Gare SNCF||Clisson||5,Route (nationale/départ.)||N249 direction Cholet, sortie Vallet||5,Aéroport/aérodrome||Nantes Atlantique||40;;;;;;;Twitter||,Facebook||https://www.facebook.com/profile.php?id=100092042006195,Google+||;;;;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Micro ondes,Lave linge,Lave vaisselle,Sèche linge;;;Non classé;3;1;1;8;160;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage;"Anglais;Français";non;;La clé clissonnaise||||lacleclissonnaise@gmail.com;;;;Nuitée (meublé)||220,00||||;"Cartes bancaires;Chèques bancaires et postaux;Virement";47.1249572,-1.2365624;Loire-Atlantique
Chambres d'hôtes - Le Domaine de la Jonquière;Chambres d'hôtes;Maison;422, route du petit bouquet;;;lieu dit La Jonquière;72440;BOULOIRE;;72042;47.956544;0.604181;Gare SNCF||Conerré Beillé||16;06.10.40.18.84;;;;;;;;;oui;;;non;;Parc/jardin,Plan d'eau,WiFi;"Entrée indépendante;Garage;Jardin indépendant;Local vélo;Parking;Terrasse / Balcon;Toilettes séparées";Cheminée;Chambre d'hôtes référence;;Non classé;5;;5;15;450;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);Français;oui;;||0272881874||reservation@sarthe-developpement.com;;;;;"Chèques bancaires et postaux;Espèces;Virement";47.956544,0.604181;Sarthe
Roulottes - LE MOULIN DES FORGES;Hébergement insolite;Maison,Roulotte;;;;le Moulin des Forges;53270;SAINTE-SUZANNE-ET-CHAMMES;;53255;48.0838399;-0.3658281;Gare SNCF||EVRON||8,Gare SNCF||Laval||35,Autoroute||A81 - Sortie n°02 à Vaiges||12;06 46 31 23 41;;;;http://www.lemoulindesforges53.fr;;Facebook||https://www.facebook.com/moulindesforges/;;;oui;Seuls les petits chiens sont acceptés dans les chambres avec un supplément de 15€/ jour. Tous les chiens sont autorisés dans les roulottes, supplément de 15€;;non;;Climatisation,Parc/jardin,Piscine,Plan d'eau,WiFi;"Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé;;;Non classé;5;0;4;14;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage (gratuit),Tables d'hôtes;Français;oui;;;oui;||paysdelaloire-mb-prestataire.for-system.com/f92595_fr-.aspx||||06 46 31 23 41||moulindesforges@orange.fr,Booking||https://www.booking.com/hotel/fr/le-moulin-des-forges-vaiges.fr.html||||||;;1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||119,00||149,00||,Table d'hôtes||35,00||||,1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||119,00||149,00||Roulotte;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Chèques Vacances Connect;Espèces;Virement";48.0838399,-0.3658281;Mayenne
MEUBLÉ - LOUJADE;Meublés;Maison;5 RUE PINCE ALOUETTE;;;;72230;MONCE-EN-BELIN;;72200;47.892942;0.202743;Gare SNCF||Gara d'Arnage||4;06 60 58 49 19;;;;;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Micro ondes;;;Non classé;3;0;1;6;110;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage;"Anglais;Français";oui;;;oui;Airbnb||https://www.airbnb.fr/rooms/38505652?source_impression_id=p3_1698767084_QeN7bqayzD65TTnG||||06 60 58 49 19||iicommunication@hotmail.fr;;"Nuitée (meublé)||||||tarif pour 1 personne en semaine ;+ 10€ par personne supplémentaire,Week-end (meublé)||||||tarif pour 1 personne à la nuitée en week-end;+ 10€ par personne supplémentaire";"Chèques bancaires et postaux;Espèces;Virement";47.892942,0.202743;Sarthe
Chez Aline;Meublés;Appartement;;;1 A Rue de la Gaieté;;72800;AUBIGNE-RACAN;;72013;47.6884573;0.2672619;Gare SNCF||Gare Aubigné racan||0,2;;01 80 87 32 19;;;;;Facebook||https://www.facebook.com/ometimconciergerie/,Instagram||https://www.instagram.com/ometim_conciergerie/,Tiktok||https://www.tiktok.com/@ometim_groupe,||https://www.linkedin.com/company/ometim-immo?originalSubdomain=fr;;;oui;les animaux sont acceptés, mais un supplément sera demandé aux hôtes;;non;;WiFi;"Entrée indépendante;Plain Pied;Sanitaires privés";Micro ondes;;;Non classé;0;0;1;4;32;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage;Français;oui;;;;;;Nuitée (meublé)||66,00||300,00||,Semaine (meublé)||400,00||700,00||,Forfait ménage||40,00||40,00||;Cartes bancaires;47.6884573,0.2672619;Sarthe
DOMAINE DE LA FERTÉ CLAIRBOIS;Chambres d'hôtes;Châteaux et demeures de prestige;;;265 chemin de Clairbois;;53270;SAINTE-SUZANNE-ET-CHAMMES;;53255;48.0831634;-0.3528106;Gare SNCF||Gare d'Evron||10,5,Autoroute||A81 Péages de Vaiges/Evron - Sortie 2||11,Aéroport/aérodrome||Aéroport Rennes Bretagne||115;07 50 90 64 40;;;;;;Facebook||https://www.facebook.com/Domaine-de-la-fert%C3%A9-Clairbois-110597630706528,Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g2221534-d24931888-Reviews-Domaine_de_la_Ferte_Clairbois-Sainte_Suzanne_Sainte_Suzanne_et_Chammes_Mayenne_Pays_.html;;;non;;;non;;Parc/jardin;"Entrée indépendante;Parking;Sanitaires privés;Terrain clos;Toilettes séparées";Equipement bébé;;;Non classé;3;;1;6;20;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit),Tables d'hôtes;Français;oui;;Rulleau||07 50 90 64 40||domaineferteclairbois@gmail.com;oui;Booking||https://www.booking.com/hotel/fr/domaine-de-la-ferte-clairbois.fr.html||||||;;1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||90,00||||,1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||100,00||||,Table d'hôtes||28,00||||;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.0831634,-0.3528106;Mayenne
