nomoffre,type,typehabitation,adresse1,adresse1suite,adresse2,adresse3,codepostal,commune,cedex,codeinseecommune,latitude,longitude,acces,commmob,commtel,commfax,commmail,commweb,videosurl,plateformeurl,spvideosembed,tripadwidget,animauxacceptes,animauxinfo,labeltourismehandicap,spaccessibilite,spaccueilveloitineraire,equipements,confortimmobilier,confortmobilier,labels,labelsclassement,categorie,capacitenbchambres,capacitenbchambresmobreduite,capacitenbhebergements,capacitenbpersonnes,capacitesurface,services,languesparleesaccueil,ouverturealannee,ouverturegranule,resadirecte,resaenligneouinon,resaenligne,resaagence,tarifs,modepaiement,localisation,departement
Chalets finlandais des Milles Sources,Hébergement insolite,"Kota finlandais,Maison",Le Poirier,0,0,0,72320.0,SAINT-MAIXENT,0.0,72296,48.0904162,0.67464833,0,0,07 86 82 38 54,0,0.0,0,0,0,0,0,0,0,0,non,0,0,Parking,0,0,0,2 étoiles,0.0,0.0,3.0,0.0,0,0,0,oui,0,0,0,0,0.0,0,0,"48.0904162,0.67464833",Sarthe
Château d'eau le Sable,Hébergement insolite,Châteaux et demeures de prestige,le sable,0,Route de Saint-Michel-de-Feins,0,53200.0,DAON,0.0,53089,47.7597376,-0.5923654,0,07 49 39 70 17,0,0,0.0,https://chateaudeaulesable.fr/,0,"Instagram||https://www.instagram.com/chateaudeaulesable/,Facebook||https://www.facebook.com/chateaudeaudaon",0,0,non,0,0,non,0,"Espace bien-être,WiFi",Entrée indépendante;Parking;Sanitaires privés;Terrasse / Balcon;Toilettes séparées,"Equipement bébé,Micro ondes,Lave vaisselle",0,0,Non classé,4.0,0.0,1.0,14.0,0,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage",Français,oui,0,Michael Buton||07 49 39 70 17||chateaudeaulesable@gmail.com,0,0,0.0,"Week-end (meublé)||800,00||1000,00||Du vendredi midi au dimanche soir.",Chèques bancaires et postaux;Espèces;Virement,"47.7597376,-0.5923654",Mayenne
Gîte Les Petites Haies aux Biches,Meublés,Maison,Les Petites Haies aux Biches,0,0,0,72400.0,CHERRE-AU,0.0,72080,48.1423261,0.67532699,0,0,06 17 94 23 15,0,0.0,0,0,0,0,0,oui,J'accepte les animaux sur accord téléphonique au préalable avant réservation.,0,non,0,"Parc/jardin,WiFi",Entrée indépendante;Garage;Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon;Toilettes séparées,"Equipement bébé,Micro ondes,Lave linge,Lave vaisselle",0,0,0,5.0,0.0,0.0,10.0,0,"Fourniture de draps (gratuit),Location de linge",0,oui,0,0,0,0,0.0,0,Chèques bancaires et postaux;Espèces;Virement,"48.1423261,0.67532699",Sarthe
LE DOMAINE DES VIEILLES RUES,Hébergement insolite,Kota finlandais,Les Vieilles Rues,0,0,0,44650.0,CORCOUE-SUR-LOGNE,0.0,44156,46.9710103,-1.5517246,0,06 31 54 79 95,0,0,0.0,0,0,0,0,0,0,0,0,non,0,0,0,0,0,0,Non classé,0.0,0.0,0.0,0.0,0,0,0,oui,0,0,oui,||https://www.domainedesvieillesrues.fr/reservation/||||06 31 54 79 95||contact@domainedesvieillesrues.fr,0.0,0,Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement,"46.9710103,-1.5517246",Loire-Atlantique
LA MAISON PRINCIPALE DU GENETIN,Meublés,Maison,Lieu-dit Genetin,0,0,0,61360.0,SURE,0.0,61476,48.368496,0.397527,0,06 32 51 59 69,0,0,0.0,0,0,0,0,0,0,0,0,non,0,"Parc/jardin,WiFi",Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Toilettes séparées,"Cheminée,Equipement bébé,Micro ondes,Lave linge,Lave vaisselle,Sèche linge",0,0,Non classé,3.0,0.0,1.0,8.0,0,"Fourniture de draps (gratuit),Fourniture de linge (gratuit)",0,0,0,0,oui,||https://www.airbnb.fr/rooms/45606471?adults=2&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-01&check_out=2024-02-06&source_impression_id=p3_1706520011_w6SIUITINa8vjgfg&previous_page_section_name=1000&federated_search_id=ee663940-5ec9-426a-b214-daaf86a5b||||||,0.0,"Week-end (meublé)||300,00||500,00||Week-end 2 nuits y compris jours fériés :;de 1 à 2 pers : 300€;de 3 à 5 pers : 400€;de 6 à 8 pers : 500€,Week-end (meublé)||200,00||400,00||2 nuits en semaine:;de 1 à 2 pers : 200€;de 3 à 5 pers : 300€;de 6 à 8 pers : 400€,Semaine (meublé)||700,00||900,00||7 nuits hors vacances;de 1 à 2 pers : 700€;de 3 à 5 pers : 800€;de 6 à 8 pers : 900€,Semaine (meublé)||800,00||1000,00||7 nuits pendant les vacances;de 1 à 2 pers : 800€;de 3 à 5 pers : 900€;de 6 à 8 pers : 1000€",Chèques bancaires et postaux;Espèces,"48.368496,0.397527",Orne
Location de châlets - Commune de Lavardin,Meublés,Chalet,RUE DES VALLEES,0,0,0,72240.0,LAVARDIN,0.0,72157,48.0774891,0.06498619,0,0,02 43 27 71 87,0,0.0,www.lavardin.fr,0,0,0,0,0,0,0,non,0,0,Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées,0,0,0,Non classé,0.0,1.0,4.0,12.0,0,0,0,0,0,||02 43 27 71 87||http://www.lavardin.fr/pages/location-salles-commu,0,0,0.0,"Semaine (meublé)||||||De 1 à 4 chalets ,Week-end (meublé)||||||De 1 à 4 chalets",Chèques bancaires et postaux;Virement,"48.0774891,0.06498619",Sarthe
CHAMBRES D'HÔTES - DÉCO'LIA,Chambres d'hôtes,Maison,0,0,1 Route de Mamers,Ballon,72290.0,BALLON-SAINT MARS,0.0,72023,48.1775778,0.23409732,Autoroute||A 28 sortie Ballon||8,0,0,0,0.0,0,0,Facebook||https://www.facebook.com/hoteldecolia/,0,0,oui,Supplément : 10€/animal/nuit,0,non,0,WiFi,Entrée indépendante;Parking;Sanitaires privés;Terrain clos;Toilettes séparées,0,0,0,0,5.0,0.0,0.0,15.0,21,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)",Anglais,oui,0,0,0,0,0.0,0,Espèces,"48.1775778,0.23409732",Sarthe
MEUBLÉ DE TOURISME DU CHÂTEAU DE LA GIRAUDIÈRE - COTTAGE DU MÛRIER (2 À 4 PERSONNES),Meublés,Maison,636 route de la Boire Bavard,Blaison-Gohier,0,0,49320.0,BLAISON-SAINT-SULPICE,0.0,49029,47.3932086,-0.3726761,"Autoroute||A 87||15,Transport en commun||Anjou Bus||0,8,Aéroport/aérodrome||Nantes ou Tours||40,Route (nationale/départ.)||D 55, D 128, D 132||1,Gare SNCF||Angers Saint Laud||25",0,0,0,0.0,0,0,0,0,0,non,0,0,non,0,"Climatisation,Local Vélo,Parc/jardin,Piscine,Plan d'eau,WiFi",Entrée indépendante;Jardin indépendant;Local vélo;Parking;Sanitaires privés;Terrain clos;Toilettes séparées,"Cheminée,Equipement bébé,Micro ondes,Lave linge,Lave vaisselle",0,0,0,2.0,0.0,0.0,4.0,0,"Location de draps,Location de linge,Location/prêt de vélo",Anglais;Français,oui,0,Catherine CHATELIER||06 20 99 00 37||cathchatelier@gmail.com,oui,||www.lagiraudiereblaisongohier.com||||||,0.0,Semaine (meublé)||||||Gite le Mûrier,Chèques bancaires et postaux;Espèces;Virement,"47.3932086,-0.3726761",Maine-et-Loire
GÎTE LE MOULIN DE LA MARCHEBOIRE,Meublés,Maison,0,0,La Marcheboire,SAINT-LAURENT-DU-MOTTAY,49410.0,MAUGES-SUR-LOIRE,0.0,49244,47.3419154,-0.9642483,Autoroute||A11 E60 SORTIE 20||26,06 87 55 59 77,02 41 78 93 91,0,0.0,0,0,0,0,0,non,0,0,non,0,"Parc/jardin,WiFi",Entrée indépendante;Jardin indépendant;Parking;Terrasse / Balcon,"Cheminée,Equipement bébé,Micro ondes,Lave linge,Lave vaisselle,Sèche linge",Gîtes de France,3 épis (Gîtes de France),0,2.0,0.0,1.0,5.0,78,Location de draps,Anglais,oui,01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,Propriétaire||02 41 78 93 91||mclcharreau@aol.com,oui,||http://www.gites-de-france-anjou.com||||02 41 88 00 00||gites-de-france-anjou-services@orange.fr,0.0,"Semaine (meublé)||||||Basse saison 400 €;Moyenne saison 460 € ;Hautes saison 500 €,Week-end (meublé)||||||Uniquement sur la période de basse et moyenne saison",Chèques bancaires et postaux;Espèces;Virement,"47.3419154,-0.9642483",Maine-et-Loire
GÎTES DE PAILLE ET DE BOIS,Meublés,Maison,0,0,10 rue de la chapelle,La Pommeraye,49620.0,MAUGES-SUR-LOIRE,0.0,49244,47.3541393,-0.8564168,"Autoroute||A11 sortie  N° 19 Saint Germain des prés||10,Gare SNCF||Champtocé-sur-Loire||7",0628298008,0,Partenaire Ôsez Mauges 2024,0.0,https://chambredhotespaillebois.fr/,0,0,0,0,non,0,0,non,0,WiFi,Entrée indépendante;Local vélo;Sanitaires privés;Terrasse / Balcon,"Cheminée,Equipement bébé,Micro ondes,Lave vaisselle",0,0,Non classé,3.0,1.0,1.0,14.0,0,"Location de draps,Nettoyage (gratuit)",Anglais,oui,26/06/2022||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,Chambres d'hôtes de paile et de bois||06 28 29 80 08||ajmbretault@gmail.com,0,0,0.0,0,Chèques bancaires et postaux;Espèces;Virement,"47.3541393,-0.8564168",Maine-et-Loire
Gîte La Ferme Florentaise,Meublés,Maison,0,0,La Pierre,Saint-Laurent-du-Mottay,49410.0,MAUGES-SUR-LOIRE,0.0,49244,47.3621407,-0.9718975,"Autoroute||A11 Sortie Saint-Germaindes-Prés||16,1,Autoroute||A11 Sortie Ancenis||22,5,Gare SNCF||Varades||6,3,Aéroport/aérodrome||Nantes||65,7",0682919844,0,0,0.0,0,0,0,0,0,oui,Chat uniquement,0,non,0,"Local Vélo,Parc/jardin,WiFi",Entrée indépendante;Local vélo;Parking;Plain Pied;Sanitaires privés,"Micro ondes,Lave linge",Gîtes de France,2 épis (Gîtes de France),Non classé,0.0,0.0,1.0,4.0,40,"Fourniture de draps (gratuit),Location de linge,Option nettoyage",Anglais,oui,15/06/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,0,oui,Gîtes de France||https://www.gites-de-france-anjou.com/fr/location/locations-gites-mauges-sur-loire-la-ferme-florentaise-h49g025586||||06 82 91 98 44||,0.0,"Semaine (meublé)||||||Basse saison: Septembre à juin;Haute saison : Juillet et août;Location du samedi au samedi,Week-end (meublé)||||||Uniquement en basse-saison,Mid-week (meublés)||||||Uniquement en basse-saison. ;Location du lundi au vendredi",Chèques bancaires et postaux;Espèces,"47.3621407,-0.9718975",Maine-et-Loire
GÎTE MURMURES DE LOIRE,Meublés,Maison,0,0,6 Malvaux,MONTJEAN-SUR-LOIRE,49570.0,MAUGES-SUR-LOIRE,0.0,49244,47.3777568,-0.8347058,"Autoroute||A11, sortie n°19||9,Route (nationale/départ.)||D723||5,Gare SNCF||Champtocé sur Loire||5,Gare SNCF||Chalonnes-sur-Loire||7",0,02 41 91 92 63,0,0.0,https://mdloire.fr,0,0,0,0,oui,Chiens et chats acceptés (5€ la nuit),0,non,0,"Parc/jardin,WiFi",Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées,"Equipement bébé,Micro ondes,Lave linge,Lave vaisselle,Sèche linge",0,0,3 étoiles,3.0,0.0,1.0,6.0,130,"Fourniture de draps (gratuit),Option nettoyage",Français,oui,01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,||02 41 91 92 63||mdloire@gmail.com,oui,"Booking||https://www.booking.com/hotel/fr/murmures-de-loire.fr.html||||||,||https://www.osezmauges.fr/gite/gite-murmures-de-loire/||||||",0.0,"Nuitée (meublé)||||||Forfait chauffage du 15 octobre au 15 avril de 12€ par nuit en supplément,Semaine (meublé)||||||Tarifs valable pour un séjour de plus de 7 nuits.;Forfait chauffage du 15 octobre au 15 avril de 12€ par nuit en supplément",Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Chèques Vacances Connect;Espèces;Virement,"47.3777568,-0.8347058",Maine-et-Loire
Meublé à l'Ombre du Figuier,Meublés,Maison,0,0,7 route des Foutaies,Le Sûr,72270.0,MEZERAY,0.0,72195,47.8312102,-0.0167395,"Autoroute||A11||18,Gare SNCF||la suze||8,Aéroport/aérodrome||Nantes||150",07 71 18 07 66,0,0,0.0,https://goo.gl/maps/uDNQ7sMiHe7Z5FJGA,0,0,0,0,oui,de petite taille,0,non,0,"Parc/jardin,WiFi",Entrée indépendante;Jardin indépendant;Local vélo;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées,"Equipement bébé,Micro ondes,Lave vaisselle",0,0,4 étoiles,1.0,0.0,1.0,4.0,60,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo",Anglais;Français,oui,01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,0,0,0,0.0,"Nuitée (meublé)||||||par personne,Semaine (meublé)||||||de 1 à 4 personnes",Chèques bancaires et postaux;Espèces;Virement,"47.8312102,-0.0167395",Sarthe
Gîte du Plat d'Étain,Meublés,Maison,0,0,1 Ter Rue du Plat d'Etain,0,49430.0,DURTAL,0.0,49127,47.6661246,-0.2415882,"Autoroute||a11||3,Gare routière||Morannes||18",06 11 25 84 78,0,0,0.0,0,www.leclossaintleonard.com,0,0,0,non,0,0,non,0,"Borne de recharge pour véhicules électriques,Local Vélo,Parc/jardin,WiFi",Entrée indépendante;Garage;Jardin indépendant;Local vélo;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées,"Micro ondes,Lave linge,Lave vaisselle",0,0,En cours de classement,1.0,0.0,1.0,4.0,60,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage",Anglais;Français;Italien,oui,"01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",Stanislas BESNARD||06 11 25 84 78||stanartconsultant@wanadoo.fr,0,0,0.0,"Nuitée (meublé)||||||pour 1 ou 2 personnes.,Nuitée (meublé)||||||pour 3 ou 4 personnes,Nuitée (meublé)||||||Ménage de sortie obligatoire",Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement,"47.6661246,-0.2415882",Maine-et-Loire
Gîte du Chêne,Meublés,Maison,0,0,72 Lieu Dit Les Carries,0,72340.0,MARCON,0.0,72183,47.688997,0.51148506,Autoroute||A28 sortie 26 Chateau du Loir||15,06 48 11 93 04,0,0,0.0,0,0,Facebook||https://www.facebook.com/gitedelacampagne/,0,0,non,0,0,non,0,"Parc/jardin,WiFi",Entrée indépendante;Garage;Parking;Plain Pied;Sanitaires privés,"Cheminée,Equipement bébé,Micro ondes,Lave linge,Lave vaisselle",0,0,3 étoiles,2.0,0.0,1.0,4.0,60,"Fourniture de draps (gratuit),Location de linge",Français,oui,0,0,0,0,0.0,Nuitée (meublé)||||||2 nuits minimum,Chèques bancaires et postaux;Espèces;Virement,"47.688997,0.51148506",Sarthe
Studio à la campagne,Meublés,Maison,0,0,Les Brosses,Montabon,72500.0,MONTVAL-SUR-LOIR,0.0,72071,47.6857324,0.37811537,"Autoroute||A28 sortie Montabon||0,5",06 77 03 41 44,0,0,0.0,0,0,0,0,0,non,0,0,non,0,"Parc/jardin,WiFi",Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Terrain clos;Terrasse / Balcon;Toilettes séparées,"Micro ondes,Lave linge",0,0,Non classé,1.0,0.0,1.0,2.0,30,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)",Anglais;Français,oui,0,BRIGITTE POUSSIN||06 77 03 41 44||brigitte.poussin@orange.fr,0,0,0.0,0,Chèques bancaires et postaux;Espèces;Virement,"47.6857324,0.37811537",Sarthe
GÎTE LA PETITE COUANNIÈRE,Meublés,Maison,"242, La Petite Couannière",0,0,0,53320.0,BEAULIEU-SUR-OUDON,0.0,53026,48.00464,-0.995022,"Autoroute||A81||10,Gare SNCF||Laval||20",06 06 40 60 88,0,0,0.0,0,0,Google+||https://lapetitecouanniere.fr,0,0,oui,0,0,non,0,"Parc/jardin,Piscine,Piscine couverte,Tennis,WiFi",Entrée indépendante;Jardin indépendant;Local vélo;Parking;Plain Pied;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées,"Cheminée,Equipement bébé,Micro ondes,Lave linge,Lave vaisselle,Sèche linge",0,0,Non classé,6.0,0.0,1.0,15.0,271,"Location de draps,Option nettoyage",Anglais;Français,oui,01/03/2024||||Réouvert à la location à partir de mars 2024||Fermeture temporaire pour rénovation||||||||||||||||||||||||||||||||||||||||||||||||||||||||,Mme CHEDMAIL||06 06 40 60 88||lapetitecouanniere@hotmail.com,0,0,0.0,0,Chèques bancaires et postaux;Espèces;Virement,"48.00464,-0.995022",Mayenne
GITE A L'ORÉE DU BOIS,Meublés,Maison,530 route de la Boussinerie,0,Roujou,Le Guédeniau,49150.0,BAUGE-EN-ANJOU,0.0,49018,47.5010741,-0.0429548,"Autoroute||A85||20,Autoroute||A11||20",06 78 22 94 91,02 41 89 50 17,0,0.0,0,0,0,0,0,non,0,0,non,0,"Parc/jardin,WiFi",Entrée indépendante;Garage;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon;Toilettes séparées,"Equipement bébé,Micro ondes,Lave linge,Lave vaisselle",Gîtes de France,3 épis (Gîtes de France),3 étoiles,4.0,4.0,1.0,8.0,139,"Location de draps,Option nettoyage",Anglais;Espagnol;Français,oui,01/01/2024||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,COURAULT Guy||06 78 22 94 91||,non,Gîtes de France||||||||,0.0,"Semaine (meublé)||475,00||600,00||+taxe de séjour",Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement,"47.5010741,-0.0429548",Maine-et-Loire
Bateau écolodge Le Martin Pêcheur,Chambres d'hôtes,Bateau habitable,0,0,Quai du Marronnier,0,49400.0,SAUMUR,0.0,49328,47.260125,-0.069844,Autoroute||A85||8,0,06 26 99 85 77,0,0.0,https://www.loireevasion.com,0,"||https://www.facebook.com/loireevasion/,||https://maps.google.com/?cid=832723770441662639,||https://www.instagram.com/loire_evasion_officiel",0,0,non,0,0,non,0,0,0,0,Vignobles et découvertes,0,0,0.0,0.0,0.0,4.0,24,Tables d'hôtes,Anglais;Français,0,"01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",0,oui,||https://www.loireevasion.com/book-a-room||||||,0.0,"||||||Repas du Chef : tarif/pers. Sur réservation préalable,||||||170 € pour 2 pers., petit-déjeuner inclus. 190 € pour 4 pers., petit-déjeuner inclus. A partir de,||||||Par adulte par nuit",Chèques bancaires et postaux;Espèces;Virement,"47.260125,-0.069844",Maine-et-Loire
GITE AU COEUR DES MAUGES,Meublés,Maison,0,0,17 bis rue de la Martinière,NEUVY-EN-MAUGES,49120.0,CHEMILLE-EN-ANJOU,0.0,49092,47.267872,-0.825234,"Autoroute||A87 sortie 25||11,Route (nationale/départ.)||D149||0,1,Gare SNCF||Chemillé||10,5",06 15 19 94 58,02 41 75 35 80,0,0.0,0,0,0,0,0,oui,0,0,non,0,WiFi,Entrée indépendante;Garage;Terrasse / Balcon,"Equipement bébé,Micro ondes,Lave linge,Lave vaisselle,Sèche linge","Bienvenue à la Ferme,Clévacances,Welcome",3 clés (Clévacances),0,3.0,0.0,1.0,11.0,185,"Location de draps,Location de linge,Option nettoyage",Anglais,oui,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,Mr et Mme Beaupel||02 41 75 35 80||beaupel.francis@orange.fr,0,0,0.0,"Semaine (meublé)||600,00||600,00||,Week-end (meublé)||480,00||480,00||2 nuitées minimum",Chèques bancaires et postaux;Chèques Vacances,"47.267872,-0.825234",Maine-et-Loire
CHAMBRES D'HÔTES LA VILLA LAYON,Chambres d'hôtes,Maison,0,0,0,La Noue Ronde,49290.0,CHAUDEFONDS-SUR-LAYON,0.0,49082,47.311117,-0.7098939,"Autoroute||A87, sortie 23 ou 24||10",0766474460,0,0,0.0,https://www.villa-layon.fr/fr,0,0,0,0,non,0,0,non,0,"Parc/jardin,Plan d'eau,WiFi",Entrée indépendante;Parking;Sanitaires privés;Terrain clos;Toilettes séparées,Micro ondes,Gîtes de France,3 épis (Gîtes de France),Non classé,2.0,0.0,1.0,4.0,48,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)",Anglais;Français,oui,0,Maxime Ariaux||07 66 47 44 60||maxime.ariaux@villa-layon.fr,0,0,0.0,0,Cartes bancaires;Chèques bancaires et postaux,"47.311117,-0.7098939",Maine-et-Loire
Gite La Maison Neuve,Meublés,Maison,0,0,504 La Maison Neuve,LE FUILET,49270.0,MONTREVAULT-SUR-EVRE,0.0,49218,47.2994833,-1.1169494,"Autoroute||Ancenis||15,Gare SNCF||Ancenis||15",0,02 41 30 00 20,0,0.0,0,0,0,0,0,oui,0,0,non,0,"Plan d'eau,WiFi",Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon;Toilettes séparées,Equipement bébé,Gîtes de France,2 épis (Gîtes de France),2 étoiles,2.0,0.0,1.0,6.0,69,"Location de draps,Location de linge,Option nettoyage",0,non,"01/05/2024||31/10/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/05/2025||31/10/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",PASQUIER||02 41 30 00 20||joseph.pasquier123@orange.fr,0,0,0.0,"Semaine (meublé)||350,00||430,00||Tarifs basse saison et haute saison",Chèques bancaires et postaux;Espèces,"47.2994833,-1.1169494",Maine-et-Loire
YOURTE LE MOULIN NEUF,Hébergement insolite,Yourte,0,0,Le Moulin Neuf,Chigné,49490.0,NOYANT-VILLAGES,0.0,49228,47.582539,0.143757,"Autoroute||Château du Loir||17,Gare SNCF||Le Mans||43,Gare routière||Noyant||10",06 33 81 42 95,02 41 82 11 42,0,0.0,0,0,0,0,0,non,0,0,non,0,"Climatisation,Espace bien-être",Entrée indépendante;Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées,"Equipement bébé,Micro ondes,Lave vaisselle",Gîtes de France,3 épis (Gîtes de France),0,2.0,0.0,1.0,4.0,43,Fourniture de draps (gratuit),Français,oui,01/01/2024||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,0,0,0,0.0,"Nuitée (meublé)||70,00||80,00||,Week-end (meublé)||160,00||175,00||,Semaine (meublé)||490,00||560,00||",Chèques bancaires et postaux,"47.582539,0.143757",Maine-et-Loire
Meublé Les Terrasses de la Sarthe,Meublés,Maison,0,0,37 rue Aristide Briand,0,72270.0,MALICORNE-SUR-SARTHE,0.0,72179,47.8163526,-0.0849577,Autoroute||l'Océane A11 E50 le mans sud ||,0,0,0,0.0,0,0,0,0,0,non,0,0,non,0,"Parc/jardin,WiFi",Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées,"Equipement bébé,Micro ondes,Lave linge,Lave vaisselle",0,0,Non classé,3.0,0.0,1.0,6.0,120,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage",Anglais;Français,non,15/04/2024||31/10/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,0,0,0,0.0,"Nuitée (meublé)||60,00||220,00||60 euros pour 1 chambre -100 euros pour  2 chambres- 120 euros pour 3 chambres .;Minimum 2 nuits.;220 euros par nuit pour les manifestations particulières en Sarthe.,Semaine (meublé)||600,00||||",Chèques bancaires et postaux;Espèces,"47.8163526,-0.0849577",Sarthe
CHAMBRES D'HÔTES - MME LESPAGNOL,Chambres d'hôtes,Maison,0,0,261 rue d'Isaac,La Corde,72000.0,LE MANS,0.0,72181,48.0158867,0.23245569,"Autoroute||||7,Gare SNCF||||,Gare SNCF||||5,Transport en commun||bus + tram||0,1,Aéroport/aérodrome||PARIS ou NANTES||200",0,0,0,0.0,www.fleursdesoleil.fr,0,0,0,0,non,0,0,non,0,"Parc/jardin,WiFi",Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrain clos,0,Fleurs de Soleil,0,3 étoiles,2.0,0.0,1.0,4.0,30,"Fourniture de draps (gratuit),Fourniture de linge (gratuit)",Anglais;Espagnol;Français,non,0,LESPAGNOL||06 89 89 22 87||ida.lespagnol@gmail.com,0,0,0.0,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||||||Hors manifestations sur le circuit automobile,Chèques bancaires et postaux;Espèces,"48.0158867,0.23245569",Sarthe
Meublé Santa Maria,Meublés,Maison,0,0,9 Chemin du Genevray,0,72130.0,SAINT-OUEN-DE-MIMBRE,0.0,72305,48.2830559,0.03365058,"Autoroute||Échnageur de La Hutte||10,Gare SNCF||La Hutte - Coulombiers||5",0,0,0,0.0,0,0,0,0,0,oui,petite et moyenne taille accepté moyennant supplément (4 euros) par jour.,0,non,0,"Parc/jardin,WiFi",Entrée indépendante;Garage;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées,"Equipement bébé,Micro ondes,Lave linge,Lave vaisselle",0,0,3 étoiles,2.0,0.0,1.0,6.0,50,Option nettoyage,Anglais;Espagnol;Français,oui,0,Madame Conchita ALCANTARA/  michael LISE||06 52 44 07 02||,0,0,0.0,"Week-end (meublé)||110,00||||55 euros pour deux personnes par nuit, réservation min. deux nuits.,Semaine (meublé)||385,00||||",Chèques bancaires et postaux;Espèces,"48.2830559,0.03365058",Sarthe
LES GITES DU LAC LA CAVE,Meublés,Maison,0,0,13 Rue de Villegaie,0,44118.0,LA CHEVROLIERE,0.0,44041,47.09263,-1.607,"Aéroport/aérodrome||Nantes Atlantique ||25,Autoroute||A83||20,Bord de mer||Pornic ||45",0,06 64 65 30 42,0,0.0,https://lesgitesdulac-nantes.fr/,0,0,0,0,0,0,0,non,0,WiFi,Entrée indépendante;Parking;Plain Pied;Sanitaires privés;Toilettes séparées,"Equipement bébé,Micro ondes",0,0,3 étoiles,1.0,0.0,1.0,4.0,0,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage",0,oui,0,Charline Luzet ||06 64 65 30 42||lesgitesdulac.lachevroliere@gmail.com,0,0,0.0,0,Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement,"47.09263,-1.607",Loire-Atlantique
